producto_id,nombre_producto,categoria,subcategoria,marca,costo_unitario,precio_lista,proveedor_id
200001,TINTA LENOVO MODELO 150,COMPUTO,TINTA,LENOVO,5175.97,6555.22,9028
200002,WEBCAM LOGITECH MODELO 820,ACCESORIOS,WEBCAM,LOGITECH,803.06,1150.59,9037
200003,BIOMETRICOS TECHONE MODELO 694,SEGURIDAD,BIOMETRICOS,TECHONE,3983.1,6649.21,9004
200004,TONER HP MODELO 367,IMPRESION,TONER,HP,344.28,489.08,9043
200005,TECLADOS LENOVO MODELO 382,ACCESORIOS,TECLADOS,LENOVO,5828.82,9924.94,9037
200006,TINTA LOGITECH MODELO 815,IMPRESION,TINTA,LOGITECH,2153.88,2944.3,9094
200007,LED SECUREID MODELO 562,MONITORES,LED,SECUREID,3530.55,4580.56,9001
200008,LAPTOPS CLICKIT MODELO 796,COMPUTO,LAPTOPS,CLICKIT,3738.34,4714.48,9096
200009,GAMING VISIONX MODELO 450,MONITORES,GAMING,VISIONX,266.36,313.36,9027
200010,CABLEADO SECUREID MODELO 129,REDES,CABLEADO,SECUREID,5594.27,7632.3,9072
200011,TONER NETPRO MODELO 333,IMPRESION,TONER,NETPRO,1311.81,1920.49,9022
200012,DESKTOP VISIONX MODELO 300,COMPUTO,DESKTOP,VISIONX,3441.67,5156.17,9008
200013,ROUTERS LENOVO MODELO 491,REDES,ROUTERS,LENOVO,4264.6,5811.98,9038
200014,CABLEADO TECHONE MODELO 541,REDES,CABLEADO,TECHONE,6186.89,8782.21,9063
200015,LED VISIONX MODELO 734,MONITORES,LED,DESCONOCIDO,4144.12,5911.4,9037
200016,TINTA TECHONE MODELO 374,IMPRESION,TINTA,TECHONE,1680.44,2442.18,9079
200017,TINTA LOGITECH MODELO 425,IMPRESION,TINTA,LOGITECH,2101.88,3223.58,9038
200018,TECLADOS TECHONE MODELO 769,ACCESORIOS,TECLADOS,TECHONE,3030.04,4525.09,9089
200019,IMPRESORAS PRINTMAX MODELO 990,IMPRESION,IMPRESORAS,PRINTMAX,1844.25,2402.41,9055
200020,SWITCHES LOGITECH MODELO 753,COMPUTO,SWITCHES,LOGITECH,6794.25,9505.14,9044
200021,ALL IN ONE LOGITECH MODELO 827,COMPUTO,ALL IN ONE,LOGITECH,2672.51,4209.26,9065
200022,IMPRESORAS HP MODELO 684,IMPRESION,IMPRESORAS,HP,1584.22,2323.75,9059
200023,CURVOS LOGITECH MODELO 280,MONITORES,CURVOS,LOGITECH,5288.58,7690.66,9038
200024,LED PRINTMAX MODELO 352,MONITORES,LED,PRINTMAX,2894.7,3602.37,9021
200025,TINTA VISIONX MODELO 821,IMPRESION,TINTA,VISIONX,6771.57,10751.46,9008
200026,ALL IN ONE TECHONE MODELO 746,COMPUTO,ALL IN ONE,TECHONE,965.62,1117.04,9052
200027,DESKTOP HP MODELO 803,COMPUTO,DESKTOP,HP,147.82,201.34,9041
200028,ALL IN ONE SECUREID MODELO 178,COMPUTO,ALL IN ONE,SECUREID,54.1,63.79,9094
200029,AUDIFONOS TECHONE MODELO 552,ACCESORIOS,AUDIFONOS,TECHONE,6690.93,10787.93,9059
200030,WEBCAM LOGITECH MODELO 320,ACCESORIOS,WEBCAM,LOGITECH,687.98,1045.54,9008
200031,AUDIFONOS LOGITECH MODELO 302,ACCESORIOS,AUDIFONOS,LOGITECH,3264.78,5175.1,9005
200032,ALARMAS H MODELO 913,SEGURIDAD,ALARMAS,H,2326.43,2745.26,9075
200033,DESKTOP PRINTMAX MODELO 866,COMPUTO,DESKTOP,PRINTMAX,3518.26,4630.66,9071
200034,SWITCHES VISIONX MODELO 137,REDES,SWITCHES,VISIONX,4779.88,7609.74,9098
