venta_id,fecha_venta,cliente_id,producto_id,sucursal_id,canal_venta,cantidad,precio_unitario,descuento,total_venta,metodo_pago,motivo_rechazo
30,2025-04-06,521.0,888888.0,7,Tienda,6,4378.07,3940.26,22328.16,Transferencia,Cliente o Producto Inexistente
96,,,200255.0,6,web,4,743.36,446.02,2527.42,Tarjeta,Cliente o Producto Inexistente
129,2024-05-29,22188.0,888888.0,18,WEB,7,6400.21,1344.04,43457.43,Tarjeta,Cliente o Producto Inexistente
160,2022-05-19,,201355.0,4,Tienda,6,496.33,148.9,2829.08,Transferencia,Cliente o Producto Inexistente
182,2025-02-21,14727.0,,12,WhatsApp,4,253.61,30.43,984.01,Tarjeta,Cliente o Producto Inexistente
186,2023-03-03,,203465.0,16,WhatsApp,5,6298.29,1574.57,29916.88,Tarjeta,Cliente o Producto Inexistente
257,2025-09-05,,200127.0,18,WhatsApp,3,453.75,40.84,1320.41,Efectivo,Cliente o Producto Inexistente
268,2024-07-23,14043.0,999999.0,6,Tienda,1,3066.16,91.98,2974.18,Transferencia,Cliente o Producto Inexistente
271,2021-12-03,5230.0,,16,Web,6,6267.38,5640.64,31963.64,Tarjeta,Cliente o Producto Inexistente
301,2021-01-14,777777.0,201323.0,4,Tienda,2,5452.61,545.26,10359.96,Efectivo,Cliente o Producto Inexistente
331,2025-08-14,,203002.0,11,tienda,0,909.1,27.27,881.83,Efectivo,Cliente o Producto Inexistente
333,2023-05-31,10228.0,999999.0,19,Tienda,4,1413.45,169.61,5484.19,Transferencia,Cliente o Producto Inexistente
362,2024-10-27,17747.0,,15,Tienda,3,3472.29,1041.69,9375.18,Transferencia,Cliente o Producto Inexistente
374,2023-11-16,16094.0,999999.0,2,WA,7,6948.05,2431.82,46204.53,Transferencia,Cliente o Producto Inexistente
414,,6055.0,888888.0,3,Tienda,1,9484.37,474.22,9010.15,Transferencia,Cliente o Producto Inexistente
471,2023-08-03,,203824.0,11,WhatsApp,7,4914.99,3440.49,30964.44,Efectivo,Cliente o Producto Inexistente
474,2024-07-25,,202415.0,5,Web,2,887.62,0.0,1775.24,Tarjeta,Cliente o Producto Inexistente
523,2023-06-17,,201773.0,11,WhatsApp,5,6989.53,1048.43,33899.22,Transferencia,Cliente o Producto Inexistente
545,2025-07-24,8146.0,888888.0,3,WhatsApp,7,800.09,560.06,5040.57,Tarjeta,Cliente o Producto Inexistente
555,2024-06-06,,203468.0,10,WhatsApp,7,5025.66,5276.94,29902.68,Transferencia,Cliente o Producto Inexistente
609,2021-10-07,22388.0,,1,Web,4,4209.71,0.0,16838.84,Tarjeta,Cliente o Producto Inexistente
614,,,201589.0,7,WhatsApp,6,2603.16,468.57,15150.39,Transferencia,Cliente o Producto Inexistente
627,2022-06-22,777777.0,200391.0,17,Web,2,2402.62,480.52,4324.72,Tarjeta,Cliente o Producto Inexistente
668,2023-01-29,999999.0,200144.0,1,Tienda Física,7,6974.2,1464.58,47354.82,Tarjeta,Cliente o Producto Inexistente
709,2022-07-14,23420.0,,15,Tienda,7,3166.47,1108.26,21057.03,Transferencia,Cliente o Producto Inexistente
712,2026-03-12,17562.0,,14,Tienda Física,2,8975.31,897.53,17053.09,Tarjeta,Cliente o Producto Inexistente
742,2022-08-18,,203580.0,8,Online,5,4796.94,719.54,23265.16,Tarjeta,Cliente o Producto Inexistente
750,2024-01-01,,201757.0,17,Sitio,7,6697.08,0.0,46879.56,Tarjeta,Cliente o Producto Inexistente
757,2023-11-14,,202968.0,6,Web,4,6684.78,4010.87,22728.25,Tarjeta,Cliente o Producto Inexistente
774,2023-07-13,,201098.0,13,Web,4,7993.75,959.25,31015.75,Efectivo,Cliente o Producto Inexistente
785,2022-11-12,1463.0,,2,WhatsApp,5,2769.27,0.0,13846.35,Transferencia,Cliente o Producto Inexistente
834,2025-04-09,13235.0,,20,Web,3,6230.12,0.0,18690.36,Efectivo,Cliente o Producto Inexistente
844,2023-11-26,,201924.0,7,Tienda Física,1,1971.77,295.77,1676.0,Efectivo,Cliente o Producto Inexistente
845,2025-12-13,23120.0,999999.0,1,WHATSAPP,4,2587.9,1552.74,8798.86,Efectivo,Cliente o Producto Inexistente
900,2023-06-02,999999.0,200295.0,2,Tienda,2,7020.67,702.07,13339.27,Tarjeta,Cliente o Producto Inexistente
901,2024-04-12,29542.0,,10,Tienda,7,334.22,233.95,2105.59,Efectivo,Cliente o Producto Inexistente
906,2023-04-06,,203184.0,17,Web,3,2662.68,399.4,7588.64, cash ,Cliente o Producto Inexistente
921,2023-06-03,17593.0,,19,Web,5,7675.3,5756.47,32620.03,Efectivo,Cliente o Producto Inexistente
922,2022-04-09,777777.0,200924.0,18,Tienda,1,1570.83,0.0,1570.83,Transf.,Cliente o Producto Inexistente
973,2024-06-13,1088.0,888888.0,4,Tienda,5,3325.98,498.9,16131.0,Tarjeta,Cliente o Producto Inexistente
1068,2025-12-13,25301.0,888888.0,19,WhatsApp,5,9879.47,2469.87,41545.04,Efectivo,Cliente o Producto Inexistente
1088,2022-10-14,29865.0,,14,Tienda,1,2570.12,257.01,2313.11,Transferencia,Cliente o Producto Inexistente
1092,2024-02-17,,203272.0,1,Tienda,2,3839.94,383.99,7295.89,Tarjeta,Cliente o Producto Inexistente
1102,2025-07-26,10048.0,888888.0,11,WhatsApp,1,4198.34,209.92,3988.42,Efectivo,Cliente o Producto Inexistente
1116,2024-12-06,2344.0,,16,Tienda,8,1116.74,-100.0,8933.92,Efectivo,Cliente o Producto Inexistente
1159,2022-02-17,,203091.0,3,WhatsApp,1,4774.23,238.71,4535.52,Tarjeta,Cliente o Producto Inexistente
1182,2023-08-03,,201316.0,14,WhatsApp,8,4511.14,3608.91,32480.21,Efectivo,Cliente o Producto Inexistente
1185,2025-10-08,2968.0,888888.0,15,WhatsApp,5,1453.48,726.74,6540.66,Efectivo,Cliente o Producto Inexistente
1194,2024-05-27,7915.0,888888.0,20,WhatsApp,1,1920.49,288.07,1632.42,Tarjeta,Cliente o Producto Inexistente
1200,2023-08-12,999999.0,201508.0,13,Web,8,8295.9,3318.36,63048.84,Tarjeta,Cliente o Producto Inexistente
1253,2021-01-14,,203215.0,13,web,6,2241.29,0.0,13447.74,Tarjeta,Cliente o Producto Inexistente
1270,2024-11-26,11977.0,,7,Tienda,8,3066.98,2453.58,22082.26,Transferencia,Cliente o Producto Inexistente
1301,2023-03-29,24210.0,999999.0,14,Tienda,2,8784.52,1756.9,15812.14,Transferencia,Cliente o Producto Inexistente
1365,2023-02-21,999999.0,200482.0,15,WhatsApp,8,10515.04,4206.02,79914.3,Tarjeta,Cliente o Producto Inexistente
1405,2025-05-10,11307.0,,9,Sitio,2,904.13,90.41,1717.85,Transferencia,Cliente o Producto Inexistente
1425,2021-04-26,9876.0,888888.0,1,Web,1,2443.23,1954.58,17591.26,Transferencia,Cliente o Producto Inexistente
1445,2024-03-28,21849.0,888888.0,4, WhatsApp ,1,6819.0,1022.85,5796.15,Transferencia,Cliente o Producto Inexistente
1456,2024-08-30,18771.0,,5,Tienda,4,3700.56,740.11,14062.13,Efectivo,Cliente o Producto Inexistente
1508,2021-05-24,777777.0,203984.0,8,Pagina Web,7,6416.54,2245.79,42669.99,Tarjeta,Cliente o Producto Inexistente
1578,2024-12-07,,200580.0,19,WhatsApp,5,5114.62,1278.65,24294.45,Efectivo,Cliente o Producto Inexistente
1627,2025-09-13,777777.0,203380.0,1,WhatsApp,8,2592.97,1037.19,19706.57,Efectivo,Cliente o Producto Inexistente
1631,2022-05-31,,202371.0,2,WEB,6,4842.85,871.71,28185.39,Credito,Cliente o Producto Inexistente
1652,,13244.0,999999.0,6,web,2,7386.23,0.0,14772.46,Transferencia,Cliente o Producto Inexistente
1668,2023-02-05,20489.0,999999.0,10,Web,8,10451.36,4180.54,79430.34,Tarjeta,Cliente o Producto Inexistente
1672,2021-08-09,,204076.0,15,Tienda,6,926.65,166.8,5393.1,Tarjeta,Cliente o Producto Inexistente
1684,2026-02-19,999999.0,202468.0,1,Web,5,1921.48,960.74,8646.66,Transferencia,Cliente o Producto Inexistente
1689,2024-05-16,14610.0,999999.0,8,Tienda,6,5595.95,3357.57,30218.13,Efectivo,Cliente o Producto Inexistente
1760,,13458.0,999999.0,5,WEB,7,1738.12,0.0,12166.84,Tarjeta,Cliente o Producto Inexistente
1761,2024-08-27,17931.0,888888.0,13,Web,4,1412.5,0.0,5650.0,Efectivo,Cliente o Producto Inexistente
1767,2024-02-13,22663.0,999999.0,9,WhatsApp,2,3644.14,218.65,7069.63,Transferencia,Cliente o Producto Inexistente
1782,2026-04-16,11076.0,999999.0,8,Tienda,5,140.03,35.01,665.14,Transferencia,Cliente o Producto Inexistente
1867,2026-02-26,2746.0,999999.0,9,Web,5,1837.42,1378.07,7809.03,Tarjeta,Cliente o Producto Inexistente
1885,2022-01-22,177.0,,2,WhatsApp,8,247.51,99.0,1881.08,Tarjeta,Cliente o Producto Inexistente
1916,2022-02-26,20434.0,999999.0,15,WhatsApp,6,5397.87,0.0,32387.22,Tarjeta,Cliente o Producto Inexistente
1943,2022-07-11,999999.0,203326.0,4,Tienda,8,1368.75,547.5,10402.5,Efectivo,Cliente o Producto Inexistente
1944,2022-10-05,10753.0,,11,Tienda,2,6697.08,1339.42,12054.74,Tarjeta,Cliente o Producto Inexistente
1952,2022-08-07,3715.0,999999.0,1,WhatsApp,6,5503.71,0.0,33022.26,Transferencia,Cliente o Producto Inexistente
1981,2022-02-02,777777.0,200498.0,6,Tienda,2,1408.89,422.67,2395.11,Efectivo,Cliente o Producto Inexistente
1989,2021-12-27,16590.0,,4,WhatsApp,5,5125.02,3843.77,21781.33,Transferencia,Cliente o Producto Inexistente
1993,,13966.0,888888.0,5,WhatsApp,4,2030.16,1218.1,6902.54,Tarjeta,Cliente o Producto Inexistente
2000,2022-03-10,777777.0,203375.0,3,Web,5,5260.94,0.0,26304.7,Transferencia,Cliente o Producto Inexistente
2035,,777777.0,202480.0,13,Web,2,6588.84,0.0,13177.68,Efectivo,Cliente o Producto Inexistente
